JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460426.500000000, A.D. 2024-Apr-26 00:00:00.0000, -1.219024854566760E+08, -8.830999621339682E+07,  5.954850608561188E+03,  1.698154915953803E+01, -2.422995800936565E+01,  2.032902363559685E-03,
2460427.500000000, A.D. 2024-Apr-27 00:00:00.0000, -1.204177057657562E+08, -9.039064737492749E+07,  6.121596602000296E+03,  1.738755428470165E+01, -2.393218709879027E+01,  1.820368492625235E-03,
2460428.500000000, A.D. 2024-Apr-28 00:00:00.0000, -1.188980542231675E+08, -9.244529195673847E+07,  6.268389895051718E+03,  1.778876201226917E+01, -2.362795067755871E+01,  1.572485075914898E-03,
2460429.500000000, A.D. 2024-Apr-29 00:00:00.0000, -1.173439471611308E+08, -9.447337023822281E+07,  6.392586638465524E+03,  1.818512616118622E+01, -2.331722015218552E+01,  1.299143344425602E-03,
2460430.500000000, A.D. 2024-Apr-30 00:00:00.0000, -1.157558059376190E+08, -9.647431926965176E+07,  6.492496767930686E+03,  1.857657554798747E+01, -2.299994998996098E+01,  1.012497525543665E-03,
2460431.500000000, A.D. 2024-May-01 00:00:00.0000, -1.141340593681229E+08, -9.844757159206642E+07,  6.567569143317640E+03,  1.896300763454087E+01, -2.267608224990550E+01,  7.267007280038484E-04,
2460432.500000000, A.D. 2024-May-02 00:00:00.0000, -1.124791467232912E+08, -1.003925544373185E+08,  6.618546401634812E+03,  1.934428181002712E+01, -2.234555335977662E+01,  4.574503265342145E-04,
2460433.500000000, A.D. 2024-May-03 00:00:00.0000, -1.107915213014392E+08, -1.023086896591792E+08,  6.647567537002265E+03,  1.972021303076523E+01, -2.200830450958846E+01,  2.212054213970305E-04,
2460434.500000000, A.D. 2024-May-04 00:00:00.0000, -1.090716544617193E+08, -1.041953947652703E+08,  6.658182895056903E+03,  2.009056802753960E+01, -2.166429685863847E+01,  3.391966234200794E-05,
2460435.500000000, A.D. 2024-May-05 00:00:00.0000, -1.073200397434126E+08, -1.060520854663754E+08,  6.655236125200987E+03,  2.045506780719406E+01, -2.131353116707229E+01, -9.076215947612098E-05,
2460436.500000000, A.D. 2024-May-06 00:00:00.0000, -1.055371963517284E+08, -1.078781800006293E+08,  6.644573745958507E+03,  2.081340034411365E+01, -2.095606836456305E+01, -1.436250177420106E-04,
2460437.500000000, A.D. 2024-May-07 00:00:00.0000, -1.037236710455282E+08, -1.096731050402550E+08,  6.632577152431011E+03,  2.116524469338954E+01, -2.059204431045680E+01, -1.217529662378425E-04,
