JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460426.500000000, A.D. 2024-Apr-26 00:00:00.0000,  1.758500774292310E+08, -1.086968363813986E+08, -6.591335789856747E+06,  1.365943796448699E+01,  2.268050972064907E+01,  1.402777804496793E-01,
2460427.500000000, A.D. 2024-Apr-27 00:00:00.0000,  1.770203855558251E+08, -1.067311913536997E+08, -6.578846983228989E+06,  1.343076094301779E+01,  2.282011670732208E+01,  1.488127785776019E-01,
2460428.500000000, A.D. 2024-Apr-28 00:00:00.0000,  1.781708672299485E+08, -1.047535923992470E+08, -6.565621332774386E+06,  1.320049755450766E+01,  2.295721742532938E+01,  1.573341658474536E-01,
2460429.500000000, A.D. 2024-Apr-29 00:00:00.0000,  1.793013867656184E+08, -1.027642569843737E+08, -6.551660067870356E+06,  1.296867971240917E+01,  2.309179050925653E+01,  1.658407044491366E-01,
2460430.500000000, A.D. 2024-Apr-30 00:00:00.0000,  1.804118112485798E+08, -1.007634043991063E+08, -6.536964524174221E+06,  1.273533968314015E+01,  2.322381510889661E+01,  1.743311615561662E-01,
2460431.500000000, A.D. 2024-May-01 00:00:00.0000,  1.815020105667255E+08, -9.875125571411481E+07, -6.521536143459767E+06,  1.250051007339217E+01,  2.335327089267867E+01,  1.828043111165893E-01,
2460432.500000000, A.D. 2024-May-02 00:00:00.0000,  1.825718574395213E+08, -9.672803373696044E+07, -6.505376473345540E+06,  1.226422381664973E+01,  2.348013803278852E+01,  1.912589344201550E-01,
2460433.500000000, A.D. 2024-May-03 00:00:00.0000,  1.836212274466440E+08, -9.469396296763186E+07, -6.488487167013619E+06,  1.202651416600491E+01,  2.360439719415471E+01,  1.996938176094538E-01,
2460434.500000000, A.D. 2024-May-04 00:00:00.0000,  1.846499990559502E+08, -9.264926955353321E+07, -6.470869982991282E+06,  1.178741469472231E+01,  2.372602954948445E+01,  2.081077473565180E-01,
2460435.500000000, A.D. 2024-May-05 00:00:00.0000,  1.856580536506179E+08, -9.059418124403276E+07, -6.452526784936588E+06,  1.154695929556281E+01,  2.384501680652551E+01,  2.164995082927987E-01,
2460436.500000000, A.D. 2024-May-06 00:00:00.0000,  1.866452755552410E+08, -8.852892734447706E+07, -6.433459541327607E+06,  1.130518217301090E+01,  2.396134122295730E+01,  2.248678829127346E-01,
2460437.500000000, A.D. 2024-May-07 00:00:00.0000,  1.876115520608912E+08, -8.645373866951451E+07, -6.413670325053811E+06,  1.106211782470355E+01,  2.407498560901139E+01,  2.332116554612895E-01,
2460438.500000000, A.D. 2024-May-08 00:00:00.0000,  1.885567734493139E+08, -8.436884749576829E+07, -6.393161312991116E+06,  1.081780101370069E+01,  2.418593333015493E+01,  2.415296199374488E-01,
2460439.500000000, A.D. 2024-May-09 00:00:00.0000,  1.894808330162898E+08, -8.227448751410902E+07, -6.371934785595439E+06,  1.057226674545475E+01,  2.429416830893049E+01,  2.498205858872797E-01,
2460440.500000000, A.D. 2024-May-10 00:00:00.0000,  1.903836270940064E+08, -8.017089378168799E+07, -6.349993126463890E+06,  1.032555026539102E+01,  2.439967501956868E+01,  2.580833740624584E-01,
2460441.500000000, A.D. 2024-May-11 00:00:00.0000,  1.912650550723510E+08, -7.805830267360300E+07, -6.327338821818091E+06,  1.007768706958759E+01,  2.450243848449815E+01,  2.663168059272927E-01,
2460442.500000000, A.D. 2024-May-12 00:00:00.0000,  1.921250194192244E+08, -7.593695183397919E+07, -6.303974459942542E+06,  9.828712902253582E+00,  2.460244428276674E+01,  2.745197000070014E-01,
2460443.500000000, A.D. 2024-May-13 00:00:00.0000,  1.929634257000114E+08, -7.380708012650266E+07, -6.279902730642073E+06,  9.578663735476297E+00,  2.469967856728903E+01,  2.826908771428585E-01,
2460444.500000000, A.D. 2024-May-14 00:00:00.0000,  1.937801825961606E+08, -7.166892758465129E+07, -6.255126424717940E+06,  9.327575748689341E+00,  2.479412808317171E+01,  2.908291661271658E-01,
2460445.500000000, A.D. 2024-May-15 00:00:00.0000,  1.945752019226745E+08, -6.952273536172792E+07, -6.229648433382463E+06,  9.075485314434678E+00,  2.488578017706407E+01,  2.989334059210886E-01,
2460446.500000000, A.D. 2024-May-16 00:00:00.0000,  1.953483986443997E+08, -6.736874568056943E+07, -6.203471747555707E+06,  8.822428982079275E+00,  2.497462278870079E+01,  3.070024474849404E-01,
2460447.500000000, A.D. 2024-May-17 00:00:00.0000,  1.960996908912539E+08, -6.520720178284053E+07, -6.176599457100153E+06,  8.568443460198674E+00,  2.506064443143143E+01,  3.150351551667701E-01,
2460448.500000000, A.D. 2024-May-18 00:00:00.0000,  1.968289999725942E+08, -6.303834787804669E+07, -6.149034750096291E+06,  8.313565609936603E+00,  2.514383418591301E+01,  3.230304037006260E-01,
2460449.500000000, A.D. 2024-May-19 00:00:00.0000,  1.975362503907101E+08, -6.086242909244565E+07, -6.120780912168022E+06,  8.057832447698836E+00,  2.522418171740356E+01,  3.309870726437616E-01,
2460450.500000000, A.D. 2024-May-20 00:00:00.0000,  1.982213698532271E+08, -5.867969141783696E+07, -6.091841325760894E+06,  7.801281142991810E+00,  2.530167729500896E+01,  3.389040434643320E-01,
2460451.500000000, A.D. 2024-May-21 00:00:00.0000,  1.988842892843221E+08, -5.649038166005997E+07, -6.062219469315086E+06,  7.543949004240089E+00,  2.537631179602712E+01,  3.467802011740524E-01,
2460452.500000000, A.D. 2024-May-22 00:00:00.0000,  1.995249428348909E+08, -5.429474738713653E+07, -6.031918916390173E+06,  7.285873453277501E+00,  2.544807670478133E+01,  3.546144406875786E-01,
